DocumentID,DocumentName,RequestID,RequestRaw,RequestClean,RequestCleanNoStop
-8819863259555879478,TEST_NEW_FILE_1.pdf,1,"1. Please admit Plaintiff received benefits from a collateral source, as defined by 
§627.7372 or §768.76, Florida Statutes, for medical bills alleged to have been incurred as a 
result of the incident described in the Complaint.",please admit plaintiff received benefits from a collateral source as defined by §6277372 or §76876 florida statutes for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff received benefits collateral source defined §6277372 §76876 florida statutes medical bills alleged incurred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,2,"2. Please admit Plaintiff is entitled to receive benefits from a collateral s ource as 
defined in §627.7372 or §768.76, Florida Statutes, for medical bills alleged to have been 
incurred as a result of the incident described in the Complaint.",please admit plaintiff is entitled to receive benefits from a collateral s ource as defined in §6277372 or §76876 florida statutes for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff entitled receive benefits collateral s ource defined §6277372 §76876 florida statutes medical bills alleged incurred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,3,"3. Please admit Plaintiff received benefits from a collateral source, as defined by 
§627.7 372 or §768.76, Florida Statutes, for loss of wages or income alleged to have been 
sustained as a result of the incident described in the Complaint.",please admit plaintiff received benefits from a collateral source as defined by §6277 372 or §76876 florida statutes for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,please admit plaintiff received benefits collateral source defined §6277 372 §76876 florida statutes loss wages income alleged sustained result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,4,"4. Please admit Plaintiff received benefits under the Personal Injury Protection 
portion of an automobile  policy for medical bills alleged to have been incurred as a result of 
the incident described in the Complaint.",please admit plaintiff received benefits under the personal injury protection portion of an automobile policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff received benefits under personal injury protection portion automobile policy medical bills alleged incurred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,5,"5. Please admit Plaintiff received benefits under the Personal Injury Protection 
portion of an automobile insurance policy for loss of wages o r income alleged to have been 
sustained as a result of the incident described in the Complaint.",please admit plaintiff received benefits under the personal injury protection portion of an automobile insurance policy for loss of wages o r income alleged to have been sustained as a result of the incident described in the complaint,please admit plaintiff received benefits under personal injury protection portion automobile insurance policy loss wages o r income alleged sustained result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,6,"6. Please admit Plaintiff received benefits under the medical payments 
provisions of an automobile insurance policy for medical bills alleged to have been inc urred 
as a result of the incident described in the Complaint.",please admit plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been inc urred as a result of the incident described in the complaint,please admit plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged inc urred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,7,"7. Please admit Plaintiff is entitled to receive benefits under the medical 
payments provisions of an automobile insurance policy for medical bills alleged to have been 
incurred as a result of  the incident described in the Complaint.",please admit plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,8,"8. Please admit Plaintiff received benefits pursuant to personal or group health 
insurance policy, for medical bills alleged to have been incurred as a result of the incident 
described in the Complaint.",please admit plaintiff received benefits pursuant to personal or group health insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff received benefits pursuant personal group health insurance policy medical bills alleged incurred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,9,"9. Please admit Plaintiff is entitled to receive benefits pursuant to personal or 
group health insurance policy, for medical bills alleged to have been incurred as a result of 
the incident described in the Complaint.",please admit plaintiff is entitled to receive benefits pursuant to personal or group health insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff entitled receive benefits pursuant personal group health insurance policy medical bills alleged incurred result incident described complaint
-8819863259555879478,TEST_NEW_FILE_1.pdf,10,"10. Please admit Plaintiff received benefits  pursuant to a personal or group wage 
continuation plan or policy, for loss of wages or income alleged to have been sustained as 
a result of the incident described in the Complaint.",please admit plaintiff received benefits pursuant to a personal or group wage continuation plan or policy for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,please admit plaintiff received benefits pursuant personal group wage continuation plan policy loss wages income alleged sustained result incident described complaint
