PrimaryGroupID,PrimaryGroupName,SubGroup1ID,SubGroup1Name,SubGroup1Example,SubGroup2ID,SubGroup2Name,SubGroup2Example,SubGroup3ID,SubGroup3Name,SubGroup3Example,SubGroup4ID,SubGroup4Name,SubGroup4Example,SubGroup5ID,SubGroup5Name,SubGroup5Example
1,medical plaintiff benefits under payments automobile policy bills alleged incurred,1,described receive entitled,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,2,described received,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,3,entitled provision received described receive,plaintiff received or is entitled to receive benefits under the medical payments provision of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA
2,plaintiff benefits under personal injury automobile policy medical bills alleged,1,protection entitled receive,plaintiff is entitled to receive benefits under the personal injury protection portion of an automobile policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,2,received protection po1tion,plaintiff received benefits under the personal injury protection po1tion of an automobile policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,plaintiff pursuant personal group wage continuation plan policy wages income,1,benefits entitled receive,plaintiff is entitled to receive benefits pursuant to a personal or group wage continuation plan or policy for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,2,benefits received,plaintiff received benefits pursuant to a personal or group wage continuation plan or policy for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,benefits pursuant personal group health insurance policy medical bills alleged,1,described receive entitled,plaintiff is entitled to receive benefits pursuant to personal or group health insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,2,described received policies,plaintiff received benefits pursuant to a personal or group health insurance policy or policies for medical bills alleged to have been incurred as a result of the incident described in the complaint,3,described received,plaintiff received benefits pursuant to personal or group health insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA
5,plaintiff time place incident described complaint available operational seat beltshoulder,1,functional,plaintiff at the time and place of the incident described in the complaint had available a functional and operational seat beltshoulder harness restraint system,2,using functional,plaintiff at the time and place of the incident described in the complaint was not using the available functional and operational seat beltshoulder harness restraint system,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,benefits under personal injury protection portion automobile policy loss wages,1,entitled receive,plaintiff is entitled to receive benefits under the personal injury protection portion of an automobile insurance policy for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,2,received,plaintiff received benefits under the personal injury protection portion of an automobile insurance policy for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,3,entitled received receive,plaintiff received or is entitled to receive benefits under the personal injury protection portion of an automobile insurance policy for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA
7,plaintiff subject deductible under personal injury protection portion automobile insurance,1,under,plaintiff is subject to a deductible under the personal injury protection portion of an automobile insurance policy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,florida statute plaintiff benefits source defined 627736 76876 loss wages,1,collateral received,plaintiff received benefits from a collateral source as defined by florida statute 627736 or florida statute 76876 for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,2,collateral entitled receive,plaintiff is entitled to receive benefits from a collateral source as defined by florida statute 627736 or florida statute 76876 for loss of wages or income alleged to have been sustained as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,florida statute plaintiff benefits collateral defined 627736 76876 medical bills,1,source entitled receive,plaintiff is entitled to receive benefits from a collateral source as defined by florida statute 627736 of florida statute 76876 for medical bills alleged to have been incurred as a result of the incident described in the complaint,2,received source,plaintiff received benefits from a collateral source as defined by florida statute 627736 or florida statute 76876 for medical bills alleged to have been incurred as a result of the incident described in the complaint,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,motor vehicle accident date subject lawsuit involved injured same parts,1,his plaintiff after,after the date of the motor vehicle accident which is the subject of this lawsuit plaintiff has been involved in a motor vehicle accident in which he injured the same parts of his body for which he is claiming injury in this matter,2,her prior ff plainti,prior to the date of the motor vehicle accident which is the subject of this lawsuit plainti ff has been involved in a motor vehicle accident in which she injured the same parts of her body for which she is claiming injury in this matter,3,his plaintiff prior,prior to the date of the motor vehicle accident which is the subject of this lawsuit plaintiff has been involved in a motor vehicle accident in which he injured the same parts of his body for which he is claiming injury in this matter,NA,NA,NA,NA,NA,NA
11,lawsuit date motor vehicle accident subject plaintiff made filed same,1,claim after,after the date of the motor vehicle accident which is the subject of this lawsuit plaintiff has made a claim andor filed a lawsuit for the same injuries andor conditions for which he is claiming in this matter,2,claim prior,prior to the date of the motor vehicle accident which is the subject of this lawsuit plaintiff has made a claim andor filed a lawsuit for the same injuries andor conditions for which he is claiming in this matter,3,aim prior cl,prior to the date of the motor vehicle accident which is the subject of this lawsuit plaintiff has made a cl aim andor filed a lawsuit for the same injuries andor conditions for which she is claiming in this matter,NA,NA,NA,NA,NA,NA
12,injury incident described complaint percent plaintiff insured under personal protection,1,reasonable $1000000 person,plaintiff is insured person under the personal injury protection portion of an automobile insurance policy which was in force on the date of the incident described in the complaint which provides payment of benefits of eighty percent 80 of all reasonable and necessary medical expenses incurred and sixty percent 60 of loss of income or earning capacity from inability to work as a result of injury sustained from the incident described in the complaint to a maximum of ten thousand dollars $1000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,use available functional operational seat beltshoulder harness restraint system time,1,plaintiffs,plaintiffs use of the available functional and operational seat beltshoulder harness restraint system at the time and place of the incident described in the complaint would have prevented or lessened the injury and damage alleged by plaintiff,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,florida this action motor vehicle fault law statute 627730 6277405,1,subj ect,this action is subj ect to the florida motor vehicle no fault law florida statute sections 627730  6277405,2,– subject,this action is subject to the florida motor vehicle no fault law florida statute sections 627730 – 6277405,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,prior date motor vehicle accident subject lawsuit plaintiff suffered same,1,,prior to the date of the motor vehicle accident which is the subject of this lawsuit plaintiff has suffered from the same injuries andor conditions for which he is claiming in this matter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,as result collision litigation permanently injured subjective subject,1,subjective,as a result of the collision which is the subjective of this litigation you were not permanently injured,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,matter one more medical providers letter protection their favor care,1,,one or more of your medical providers has a letter of protection in their favor for your care andor treatment as a result of the incident which is the subject matter of the above captioned matter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,at time place incident described complaint plaintiff complied provisions security,1,,at the time and place of the incident described in the complaint plaintiff complied with the provisions and security requirements set forth in florida statute 627733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,prior date motor vehicle accident subject lawsuit plaintiff assigned permanent,1,,prior to the date of the motor vehicle accident which is the subject of this lawsuit plaintiff was assigned a permanent impairment rating by a physician,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
