GroupID,SecondaryGroupID,DocumentName,RequestID,RequestCleanNoStop_SecNoStop,RequestClean,RequestCleanNoStop,RequestRaw
1,1,"CAMERON,HODGES,COLEMAN.pdf",85,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an
automobile insurance policy for medical bills alleged to have been incurred as a result of the incident
described in the Complaint."
1,1,CONROY SIMBERG.pdf,123,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments 
provisions of an automobile insurance policy for medical bills alleged to have been 
incurred as a result of the incident described in the Complaint."
1,1,"HAMILTON, MILLER & BIRTHISEL, LLP.pdf",236,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments 
provisions of an automobile insurance policy for medical bills alleged to have been 
incurred as a result of the incident described in the Complaint."
1,1,LAW OFFICE OF REBECCA WOLTJER.pdf,465,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is  entitled to receive benefits under the medical payments provisions of 
an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the Complaint."
1,1,LAW OFFICES OF DOLINA LORDEUS LASCAZE.pdf,643,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Office of Bradley D. Martin.pdf,350,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Office of Jose C. Fernandez.pdf,407,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Office of Robert J. Smith.pdf,496,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff  is entitled to receive  benefits under the medical payments provisions  of an automobile 
insurance policy for medical bills alleged to have been incurred as a result  of the incident  
described in the  Complaint."
1,1,Law Office of Terryl Blackmon Walker.pdf,539,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Office of Vivian M. Knapp.pdf,568,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Offices of Angela M. Castronovo.pdf,622,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Offices of Michael W. Carrol.pdf,723,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Offices of Sonya S. Wesner.pdf,771,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,Law Offices of Tiffany Eisenberg.pdf,800,entitled receive described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,1,"Vecchio, Carrier, Feldman & Johannessen, P.A..pdf",991,entitled receive me described,plaintiff is entitled to receive benefits under the medical payments provisions of an automobile policy for medical bills me alleged to have been incurred as a result of the incident described in the complaint,plaintiff entitled receive benefits under medical payments provisions automobile policy medical bills me alleged incurred result incident described complaint,"10. Plaintiff is entitled to receive benefits under the medical payments provisions of an automobile 
policy for medical bills me alleged to have been incurred as a result of the incident described in 
the Complaint."
1,2,"CAMERON,HODGES,COLEMAN.pdf",84,received described,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile
insurance policy for medical bills alleged to have been incurred as a result of the incident described
in the Complaint."
1,2,CONROY SIMBERG.pdf,122,received described,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Plaintiff received benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of 
the incident described in the Complaint."
1,2,"HAMILTON, MILLER & BIRTHISEL, LLP.pdf",235,received described,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Plaintiff received benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result 
of the incident described in the Complaint."
1,2,LAW OFFICE OF JOHN E. KORF.pdf,378,received described,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Plaintiff received benefits under the medical payments  provisions of an 
automobile  insurance  policy for medical bills alleged to have been incurred as a result of the 
incident described  in the Complaint."
1,2,Law Office of Bradley D. Martin.pdf,349,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,2,Law Office of Jose C. Fernandez.pdf,406,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,2,Law Office of Robert J. Smith.pdf,495,received described,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Plaintiff  received benefits  under the medical payments provisions of an automobile  insurance  
policy for medical  bills alleged to have been incurred as a result of the incident  described in the 
Complaint."
1,2,Law Office of Terryl Blackmon Walker.pdf,538,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,2,Law Office of Vivian M. Knapp.pdf,567,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,2,Law Offices of Angela M. Castronovo.pdf,621,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,2,Law Offices of Michael W. Carrol.pdf,722,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,2,Law Offices of Sonya S. Wesner.pdf,770,received described,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident described 
in the Complaint."
1,2,Law Offices of Tiffany Eisenberg.pdf,799,received ed describ,plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed in the complaint,plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident describ ed complaint,"9. Plaintiff received benefits under the medical payments provisions of an automobile 
insurance policy for medical bills alleged to have been incurred as a result of the incident describ ed 
in the Complaint."
1,3,"DAVIS, GIARDINO, HRIVNAK & OKON, PLLC.pdf",163,entitled described receive received provision,plaintiff received or is entitled to receive benefits under the medical payments provision of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provision automobile insurance policy medical bills alleged incurred result incident described complaint,13. Plaintiff received or is entitled to receive benefits under the medical payments provision of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the Complaint.
1,3,"FALK,WAAS,HERNANDEZ,SOLOMON.pdf",197,entitled described receive received,plaintiff received or is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"5. Plaintiff received or is entitled to receive benefits under the medical
payments provisions of an automobile insurance policy for medical bills alleged to
have been incurred as a result of the incident described in the Complaint."
1,3,"Kirwanm Spellacy, Danner.docx",1156,entitled described receive received provision,plaintiff received or is entitled to receive benefits under the medical payments provision of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provision automobile insurance policy medical bills alleged incurred result incident described complaint,"13:
Plaintiff received or is entitled to receive benefits under the medical payments provision of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the Complaint."
1,3,Law Offices of James W. Kehoe.pdf,711,entitled described receive received,plaintiff received or is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"12.Plaintiff received or is entitled to receive benefits under the medical payments provisions
of an automobile insurance policy for medical bills alleged to have been incurred as a
result of the incident described in the Complaint."
1,3,"Leeper & Associates, P.A..pdf",835,entitled described receive received,plaintiff received or is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"6. Plaintiff received or is entitled to receive benefits
under the medical payments provisions of an automobile insurance
policy for medical bills alleged to have been incurred as a result
of the incident described in the Complaint."
1,3,"Vernis & Bowling of the Florida Keys, P.A..pdf",1014,entitled described receive received,plaintiff received or is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"5. Plaintiff received or is entitled to receive benefits under the medical payments 
provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result 
of the incident described in the Complaint."
1,3,"WICKER SMITH O'HARA MCCOY & FORD, P.A..pdf",1074,entitled described receive received,plaintiff received or is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,plaintiff received entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"5. Plaintiff  received or is entitled to receive benefits under the medical payments provisions 
of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident 
described in the Complaint."
1,4,"Alvarez Winthrop Thompson & Smoak, P.A..pdf",7,admit entitled described please receive,please admit plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"7. Please admit Plaintiff is entitled to receive benefits under the medical 
payments provisions of an automobile insurance policy for medical bills alleged to have been 
incurred as a result of  the incident described in the Complaint."
1,4,"Rissman, Barrett.pdf",895,admit described please received,please admit plaintiff received benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff received benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"9. Please admit Plaintiff received benefits under the medical payments provisions of an 
automobile insurance policy for medical bills alleged to have been incurred as a result of the 
incident described in the Complaint."
1,4,"Rissman, Barrett.pdf",896,admit entitled described please receive,please admit plaintiff is entitled to receive benefits under the medical payments provisions of an automobile insurance policy for medical bills alleged to have been incurred as a result of the incident described in the complaint,please admit plaintiff entitled receive benefits under medical payments provisions automobile insurance policy medical bills alleged incurred result incident described complaint,"10. Please admit Plaintiff is entitled to receive benefits under the medical payments 
provisions of an automobile insurance policy for medical bills alleged to have been incurred as a 
result of the incident described in the Complaint."
